be,en,ru,tr
У гэты час сталіца была перанесена [???].,At this time the capital was moved to [???].,В это время столица была перенесена [???].,Bu sırada başkent [???] taşındı.
"Мушэры з усяго свету прыязджаюць [???] кожны сакавік, каб пазмагацца за грошы, прызы і прэстыж.","Mushers from all over the world come to [???] each March to compete for cash, prizes, and prestige.","Гонщики со всего мира приезжают [???] каждый март, чтобы побороться за деньги, призы и престиж.","Dünyanın her yerinden lapacılar her Mart ayında nakit para, ödüller ve prestij için yarışmak üzere [???] gelir."
"Падчас вайны трое эвакуіраваліся [???], дзе жылі з бабуляй па лініі маці.","During the war, the three evacuated to [???], living with his maternal grandmother.","Во время войны все трое эвакуировались [???], живя с бабушкой по материнской линии.","Savaş sırasında üçü, anneannesinin yanında yaşayarak [???] tahliye edildi."
"Ён падаў у адстаўку ў 1834 годзе, каб вярнуцца [???], каб даглядаць за сваёй паміраючай жонкай, якая праз два гады памерла ад туберкулёзу.","He resigned his commission in 1834 to return to [???] to care for his dying wife, who succumbed two years later to tuberculosis.","Он ушел в отставку в 1834 году, чтобы вернуться [???], чтобы заботиться о своей умирающей жене, которая два года спустя скончалась от туберкулеза.",İki yıl sonra tüberküloza yenik düşen ölmekte olan karısına bakmak için [???] dönmek üzere 1834'te görevinden istifa etti.
Рэлігійная свабода вярнулася [???] пасля змены рэжыму ў 1992 годзе.,Religious freedom has returned to [???] since the regime's change in 1992.,Свобода вероисповедания вернулась [???] после смены режима в 1992 году.,1992'de rejim değişikliğinden bu yana [???] din özgürlüğü geri döndü.
"З 1991 года некалькі тысяч студэнтаў з 21 краіны прыехалі [???], каб вучыцца і ўдзельнічаць у раскопках, якія працягваюцца.","Since 1991, several thousand students from 21 countries have come to [???] to study and participate in ongoing excavations.",С 1991 года несколько тысяч студентов из 21 страны приехали [???] для обучения и участия в текущих раскопках.,1991'den beri 21 ülkeden birkaç bin öğrenci okumak ve devam eden kazılara katılmak için [???] geldi.
У канцы 1947 года ён вярнуўся [???] на год водпуску.,In late 1947 he returned to [???] for a sabbatical year.,В конце 1947 года он вернулся [???] на годичный творческий отпуск.,1947'nin sonlarında izinli bir yıl için [???] döndü.
"У 1722 годзе ён пераехаў [???], дзе прадставіў новы стыль сваіх опер.","In 1722 he moved to [???], where he introduced his operas' new style.","В 1722 году он переехал [???], где представил новый стиль своих опер.",1722'de operalarının yeni tarzını tanıttığı [???] taşındı.
"Яе бацькі, тым часам, адправіліся [???], каб выканаць афіцыйныя абавязкі.","Her parents, in the meantime, journeyed to [???] to complete official duties.",Тем временем ее родители уехали [???] для выполнения официальных обязанностей.,"Bu arada ailesi, resmi görevlerini tamamlamak için [???] gitti."
"Яны параілі яму не ехаць [???] з-за ўмоў надвор'я, але ўсё роўна паехаў.","He was advised by them not to make the journey over to [???] because of weather conditions, but travelled anyway.","Они посоветовали ему не ехать [???] из-за погодных условий, но он все равно поехал.","Hava koşulları nedeniyle [???] gitmemesi tavsiye edildi, ancak yine de seyahat etti."
