be,bg,ca,cs,en,es,pl,ru,sl,tr,uk
"Тэмпы прыросту насельніцтва [???] скараціліся амаль удвая ў параўнанні з 1910-1920 гадамі, што адлюстроўвае ўплыў эміграцыі.","Темпът на нарастване на населението [???] е намалял почти наполовина от 1910 - 1920 г., отразявайки ефекта от емиграцията.","La taxa de creixement de la població [???] es va reduir gairebé a la meitat entre 1910 i 1920, reflectint l'efecte de l'emigració.","Míra růstu populace [???] klesla téměř o polovinu od 1910 -- 1920, odrážet účinek emigrace.","The population growth rate [???] dropped by nearly half from 1910 -- 1920, reflecting the effect of emigration.","La tasa de crecimiento de la población [???] cayó casi a la mitad entre 1910 y 1920, lo que refleja el efecto de la emigración.","Tempo wzrostu populacji [???] spadło prawie o połowę od 1910 do 1920 roku, odzwierciedlając wpływ emigracji.","Темпы прироста населения [???] упали почти вдвое с 1910 по 1920 год, отражая влияние эмиграции.","Stopnja rasti prebivalstva [???] se je od leta 1910 do 1920 zmanjšala za skoraj polovico, kar odraža učinek izseljevanja.","Nüfus artış hızı [???], göçün etkisini yansıtacak şekilde 1910-1920 yılları arasında neredeyse yarı yarıya düştü.","Темпи приросту населення [???] впали майже вдвічі з 1910 по 1920 роки, відображаючи вплив еміграції."
Падаткі з продажаў і акцызы [???] складаюць 51 працэнт усіх дзяржаўных і мясцовых даходаў у параўнанні з сярэднім паказчыкам па краіне каля 36 працэнтаў.,"Данъците върху продажбите и акцизите [???] представляват 51 процента от всички държавни и местни приходи, в сравнение със средно около 36 процента за цялата страна.","Els impostos sobre vendes i especials [???] representen el 51 per cent de tots els ingressos estatals i locals, en comparació amb una mitjana d'un 36 per cent a tot el país.","Prodej a spotřební daně [???] tvoří 51 procent všech státních a místních příjmů, ve srovnání s celostátním průměrem asi 36 procent.","Sales and excise taxes [???] account for 51 percent of all state and local revenue, compared with an average of about 36 percent nationwide.","Los impuestos sobre las ventas y el consumo [???] representan el 51 por ciento de todos los ingresos estatales y locales, en comparación con un promedio de alrededor del 36 por ciento a nivel nacional.","Podatek od sprzedaży i akcyza [???] stanowią 51 procent wszystkich dochodów stanowych i lokalnych, w porównaniu ze średnią około 36 procent w całym kraju.","Налоги с продаж и акцизные сборы [???] составляют 51 процент всех государственных и местных доходов, по сравнению со средним показателем около 36 процентов по стране.",Prometni davki in trošarine [???] predstavljajo 51 odstotkov vseh državnih in lokalnih prihodkov v primerjavi s povprečjem približno 36 odstotkov po vsej državi.,"Satış ve tüketim vergileri [???], ülke çapında ortalama yaklaşık yüzde 36 ile karşılaştırıldığında, tüm eyalet ve yerel gelirin yüzde 51'ini oluşturuyor.","Податки з продажів і акцизи [???] становлять 51 відсоток усіх державних і місцевих надходжень, у порівнянні з середнім показником близько 36 відсотків по країні."
"Агульная федэральная, штатная і мясцовая падатковая нагрузка [???] ставіць штат на другое месца ў краіне з найменшай падатковай нагрузкай.","Общата федерална, щатска и местна данъчна тежест [???] класира щата като втория най-малко данъчно обременен щат в страната.","La càrrega fiscal general federal, estatal i local [???] classifica l'estat com el segon estat menys carregat d'impostos del país.","Celkové federální, státní a místní daňové zatížení [???] řadí stát na druhý nejméně daňově zatížený stát v zemi.","The overall federal, state, and local tax burden [???] ranks the state as the second least tax-burdened state in the country.","La carga impositiva general federal, estatal y local [???] clasifica al estado como el segundo estado menos gravado con impuestos en el país.","Ogólne federalne, stanowe i lokalne obciążenia podatkowe [???] plasują ten stan na drugim miejscu w kraju pod względem obciążeń podatkowych.","Общее федеральное, государственное и местное налоговое бремя [???] ставит штат на второе место в стране с наименьшим налоговым бременем.","Celotna zvezna, državna in lokalna davčna obremenitev [???] državo uvršča med drugo najmanj davčno obremenjeno državo v državi.","Genel federal, eyalet ve yerel vergi yükü [???], eyaleti ülkedeki vergi yükü en az ikinci eyalet olarak gösteriyor.","Загальний податковий тягар на федеральному рівні, штаті та місцевому рівні [???] ставить штат на друге місце в країні з найменшим податковим навантаженням."
Аднак ён памёр [???] натуральнай смерцю на працягу года (у 322 г. да н. э.).,Той обаче умира [???] от естествена смърт в рамките на годината (през 322 г. пр.н.е.).,"No obstant això, va morir [???] per causes naturals durant l'any (el 322 aC).",Nicméně zemřel [???] přirozenou smrtí během roku (v roce 322 př.nl).,"However, he died [???] of natural causes within the year( in 322 BC).","Sin embargo, murió [???] por causas naturales dentro del mismo año (en 322 a. C.).",Zmarł jednak [???] z przyczyn naturalnych w ciągu roku (w 322 pne).,Однако он умер [???] естественной смертью в течение года (в 322 г. до н.э.).,Vendar pa je umrl [???] naravne smrti v enem letu (leta 322 pr. n. št.).,Ancak [???] yıl içinde (MÖ 322'de) doğal nedenlerle öldü.,Однак він помер [???] природною смертю протягом року (у 322 р. до н. е.).
Апошнім часам замежныя інвестыцыі [???] павялічыліся.,Напоследък задграничните инвестиции [???] се увеличиха.,"Recentment, la inversió a l'estranger [???] ha augmentat.",V poslední době vzrostly zahraniční investice [???].,"Recently, overseas investment [???] has increased.","Recientemente, la inversión extranjera [???] ha aumentado.",Ostatnio inwestycje zagraniczne [???] wzrosły.,В последнее время зарубежные инвестиции [???] увеличились.,Nedavno so se čezmorske naložbe [???] povečale.,"Son zamanlarda, yurtdışı yatırım [???] arttı.",Останнім часом закордонні інвестиції [???] зросли.
"Паводле ацэнак, 95 700 бежанцаў і асоб, якія шукаюць прытулку, шукалі прытулку [???].","Смята се, че 95 700 бежанци и търсещи убежище са потърсили убежище [???].",Es calcula que 95.700 refugiats i sol·licitants d'asil han buscat refugi [???].,"Odhaduje se, že útočiště vyhledalo 95 700 uprchlíků a žadatelů o azyl [???].","It is estimated that 95,700 refugees and asylum-seekers have sought refuge [???].",Se estima que 95.700 refugiados y solicitantes de asilo han buscado refugio [???].,"Szacuje się, że schronienia szukało 95 700 uchodźców i osób ubiegających się o azyl [???].","По оценкам, 95 700 беженцев и лиц, ищущих убежища, искали убежища [???].","Ocenjuje se, da je 95.700 beguncev in prosilcev za azil poiskalo zatočišče [???].",95.700 mülteci ve sığınmacının sığınmak istediği tahmin edilmektedir [???].,"За оцінками, 95 700 біженців і шукачів притулку шукали притулку [???]."
Сёння сацыяльная антрапалогія [???] узаемадзейнічае на міжнародным узроўні з многімі іншымі сацыяльнымі тэорыямі і разгаліноўваецца ў многіх кірунках.,Днес социалната антропология [???] се ангажира в международен план с много други социални теории и се разклонява в много посоки.,"Avui dia, l'antropologia social [???] es relaciona internacionalment amb moltes altres teories socials i s'ha ramificat en moltes direccions.",Dnes se sociální antropologie [???] zabývá mezinárodně mnoha dalšími sociálními teoriemi a rozvětvila se do mnoha směrů.,"Today, social anthropology [???] engages internationally with many other social theories and has branched in many directions.","Hoy, la antropología social [???] se relaciona internacionalmente con muchas otras teorías sociales y se ha ramificado en muchas direcciones.",Dzisiaj antropologia społeczna [???] angażuje się na arenie międzynarodowej z wieloma innymi teoriami społecznymi i rozwinęła się w wielu kierunkach.,Сегодня социальная антропология [???] взаимодействует на международном уровне со многими другими социальными теориями и разветвляется во многих направлениях.,Danes se socialna antropologija [???] mednarodno ukvarja s številnimi drugimi družbenimi teorijami in se je razvejala v mnogo smeri.,"Bugün, sosyal antropoloji [???] uluslararası olarak diğer birçok sosyal teori ile ilişki içindedir ve birçok yöne dallanmıştır.",Сьогодні соціальна антропологія [???] взаємодіє на міжнародному рівні з багатьма іншими соціальними теоріями та має багато напрямків.
"Аднак манеты і купюры як франка, так і песеты заставаліся законным плацежным сродкам [???] да 2002 года.","Монетите и банкнотите както на франка, така и на песетата обаче остават законно платежно средство [???] до 2002 г.","Les monedes i bitllets tant del franc com de la pesseta, però, van romandre de curs legal [???] fins al 2002.","Mince a bankovky jak franku, tak pesety však zůstaly zákonným platidlem [???] až do roku 2002.","Coins and notes of both the franc and the peseta, however, remained legal tender [???] until 2002.","Las monedas y billetes tanto de franco como de peseta, sin embargo, siguieron siendo de curso legal [???] hasta 2002.","Monety i banknoty zarówno franka, jak i pesety pozostawały jednak prawnym środkiem płatniczym [???] do 2002 roku.","Однако монеты и банкноты как во франках, так и в песетах оставались законным платежным средством [???] до 2002 года.",Kovanci in bankovci tako franka kot pezete pa so ostali zakonito plačilno sredstvo [???] do leta 2002.,"Bununla birlikte, hem frank hem de pesetanın madeni paraları ve banknotları, 2002 yılına kadar yasal ödeme aracı [???] olarak kaldı.","Проте монети та банкноти як франка, так і песети залишалися законним платіжним засобом [???] до 2002 року."
"Няма ні чыгунак, ні партоў, ні аэрапортаў для самалётаў [???].","Няма железопътни линии, пристанища или летища за самолети с фиксирани крила [???].","No hi ha ferrocarrils, ports o aeroports per a avions d'ala fixa [???].","Neexistují žádné železnice, přístavy nebo letiště pro letadla s pevnými křídly [???].","There are no railways, ports, or airports for fixed-wing aircraft [???].","No hay ferrocarriles, puertos o aeropuertos para aviones de ala fija [???].","Nie ma linii kolejowych, portów ani lotnisk dla stałopłatów [???].","Для самолетов нет ни железных дорог, ни портов, ни аэропортов [???].","Za letala s fiksnimi krili ni železnic, pristanišč ali letališč [???].","Sabit kanatlı uçaklar için demiryolları, limanlar veya havaalanları yoktur [???].","Немає залізниць, портів чи аеропортів для літаків [???]."
"«Злавесны факт пра літаратурную цэнзуру [???] заключаецца ў тым, што яна ў асноўным добраахвотная.","„Зловещият факт за литературната цензура [???] е, че тя е до голяма степен доброволна.","""El fet sinistre sobre la censura literària [???] és que és en gran part voluntària.","Zlověstným faktem o literární cenzuře [???] je, že je z velké části dobrovolná.",""" The sinister fact about literary censorship [???] is that it is largely voluntary.","""El hecho siniestro sobre la censura literaria [???] es que es en gran parte voluntaria.","„Złowrogim faktem dotyczącym cenzury literackiej [???] jest to, że jest ona w dużej mierze dobrowolna.","«Зловещий факт о литературной цензуре [???] заключается в том, что она в значительной степени добровольна.",""" Zlovešče dejstvo o literarni cenzuri [???] je, da je večinoma prostovoljna.",""" Edebi sansür [???] hakkındaki uğursuz gerçek, bunun büyük ölçüde gönüllü olmasıdır.","«Зловісний факт про літературну цензуру [???] полягає в тому, що вона здебільшого добровільна."
