en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
"The population growth rate in [???] dropped by nearly half from 1910 -- 1920, reflecting the effect of emigration.","Темпы прироста населения в [???] снизились почти вдвое с 1910 по 1920 г., отражая влияние эмиграции.","Tempo wzrostu liczby ludności w [???] spadło prawie o połowę od 1910 do 1920 roku, odzwierciedlając wpływ emigracji.","Тэмпы прыросту насельніцтва ў [???] знізіліся амаль удвая ў параўнанні з 1910-1920 гадамі, што адлюстроўвае ўплыў эміграцыі.","Темпи приросту населення в [???] впали майже вдвічі з 1910 по 1920 роки, відображаючи вплив еміграції.","Темпът на нарастване на населението в [???] е намалял почти наполовина от 1910 - 1920 г., отразявайки ефекта от емиграцията.","Stopnja rasti prebivalstva v [???] se je od leta 1910 do 1920 zmanjšala za skoraj polovico, kar odraža učinek izseljevanja.","Míra růstu populace v [???] klesla téměř o polovinu od 1910 -- 1920, odrážet účinek emigrace.","La taxa de creixement de la població a [???] es va reduir gairebé a la meitat entre 1910 i 1920, reflectint l'efecte de l'emigració.","La tasa de crecimiento de la población en [???] se redujo casi a la mitad entre 1910 y 1920, lo que refleja el efecto de la emigración.","[???]'daki nüfus artış hızı, göçün etkisini yansıtacak şekilde 1910-1920 yılları arasında neredeyse yarı yarıya düştü."
"Sales and excise taxes in [???] account for 51 percent of all state and local revenue, compared with an average of about 36 percent nationwide.","Налоги с продаж и акцизные сборы в [???] составляют 51 процент всех государственных и местных доходов, по сравнению со средним показателем около 36 процентов по стране.","Podatek od sprzedaży i akcyza w [???] stanowią 51 procent wszystkich dochodów stanowych i lokalnych, w porównaniu ze średnią około 36 procent w całym kraju.",Падаткі з продажаў і акцызы ў [???] складаюць 51 працэнт усіх дзяржаўных і мясцовых даходаў у параўнанні з сярэднім паказчыкам па краіне каля 36 працэнтаў.,Податки з продажів і акцизи в [???] становлять 51 відсоток усіх державних і місцевих надходжень у порівнянні з середнім показником близько 36 відсотків по всій країні.,"Данъците върху продажбите и акцизите в [???] представляват 51 процента от всички държавни и местни приходи, в сравнение със средно около 36 процента за цялата страна.",Prometni davki in trošarine v [???] predstavljajo 51 odstotkov vseh državnih in lokalnih prihodkov v primerjavi s povprečjem približno 36 odstotkov po vsej državi.,"Prodej a spotřební daně v [???] tvoří 51 procent všech státních a místních příjmů, ve srovnání s celostátním průměrem asi 36 procent.","Els impostos sobre vendes i especials a [???] representen el 51 per cent de tots els ingressos estatals i locals, en comparació amb una mitjana d'un 36 per cent a tot el país.","Los impuestos sobre las ventas y el consumo en [???] representan el 51 por ciento de todos los ingresos estatales y locales, en comparación con un promedio de alrededor del 36 por ciento a nivel nacional.","[???]'daki satış ve tüketim vergileri, tüm eyalet ve yerel gelirin yüzde 51'ini oluştururken, ülke çapında ortalama yaklaşık yüzde 36'dır."
"The overall federal, state, and local tax burden in [???] ranks the state as the second least tax-burdened state in the country.","Общее федеральное, государственное и местное налоговое бремя в [???] ставит штат на второе место в стране по налоговой нагрузке.","Ogólne federalne, stanowe i lokalne obciążenia podatkowe w [???] plasują ten stan na drugim miejscu pod względem obciążenia podatkowego w kraju.","Агульная федэральная, штатная і мясцовая падатковая нагрузка ў [???] займае другое месца ў краіне з найменшай падатковай нагрузкай.","Загальне податкове навантаження на федеральному, штатному та місцевому рівнях у [???] ставить штат на друге місце в країні з найменшим податковим навантаженням.","Общата федерална, щатска и местна данъчна тежест в [???] класира щата като втория най-малко данъчно обременен щат в страната.","Skupna zvezna, državna in lokalna davčna obremenitev v [???] državo uvršča med drugo najmanj davčno obremenjeno državo v državi.","Celkové federální, státní a místní daňové zatížení v [???] řadí stát na druhý nejméně daňově zatížený stát v zemi.","La càrrega fiscal general federal, estatal i local a [???] classifica l'estat com el segon estat amb menys càrrega fiscal del país.","La carga impositiva general federal, estatal y local en [???] clasifica al estado como el segundo estado menos gravado con impuestos del país.","[???]'daki genel federal, eyalet ve yerel vergi yükü, eyaleti ülkedeki en az vergi yükü olan ikinci eyalet olarak sıralıyor."
"However, he died in [???] of natural causes within the year( in 322 BC).",Однако он умер в [???] естественной смертью в течение года (в 322 г. до н.э.).,Zmarł jednak w [???] z przyczyn naturalnych w ciągu roku (w 322 pne).,Аднак ён памёр [???] натуральнай смерцю на працягу года (у 322 г. да н.э.).,Однак він помер [???] природною смертю протягом року (у 322 р. до н. е.).,Той обаче умира през [???] от естествена смърт в рамките на годината (през 322 г. пр.н.е.).,Vendar pa je umrl [???] naravne smrti v enem letu (leta 322 pr. n. št.).,Nicméně zemřel v roce [???] přirozenou smrtí během roku (v roce 322 př.nl).,"No obstant això, va morir el [???] de causes naturals durant l'any (el 322 aC).","Sin embargo, murió en [???] por causas naturales dentro del año (en 322 a. C.).",Ancak [???] yılında (MÖ 322'de) eceliyle öldü.
"Recently, overseas investment in [???] has increased.",В последнее время увеличились зарубежные инвестиции в [???].,Ostatnio inwestycje zagraniczne w [???] wzrosły.,Апошнім часам замежныя інвестыцыі ў [???] павялічыліся.,Останнім часом зросли іноземні інвестиції в [???].,Напоследък задграничните инвестиции в [???] се увеличиха.,V zadnjem času so se čezmorske naložbe v [???] povečale.,V poslední době vzrostly zahraniční investice do [???].,"Recentment, la inversió a l'estranger a [???] ha augmentat.","Recientemente, la inversión extranjera en [???] ha aumentado.","Son zamanlarda, [???]'daki denizaşırı yatırımlar arttı."
"It is estimated that 95,700 refugees and asylum-seekers have sought refuge in [???].","По оценкам, 95 700 беженцев и просителей убежища нашли убежище в [???].","Szacuje się, że 95 700 uchodźców i osób ubiegających się o azyl szukało schronienia w [???].","Паводле ацэнак, 95 700 бежанцаў і асоб, якія шукаюць прытулку, шукалі прытулку ў [???].","За оцінками, 95 700 біженців і шукачів притулку шукали притулку в [???].","Смята се, че 95 700 бежанци и търсещи убежище са потърсили убежище в [???].","Ocenjuje se, da je 95.700 beguncev in prosilcev za azil poiskalo zatočišče v [???].","Odhaduje se, že v [???] hledalo útočiště 95 700 uprchlíků a žadatelů o azyl.",Es calcula que 95.700 refugiats i sol·licitants d'asil han buscat refugi a [???].,Se estima que 95.700 refugiados y solicitantes de asilo han buscado refugio en [???].,95.700 mülteci ve sığınmacının [???]'ya sığındığı tahmin edilmektedir.
"Today, social anthropology in [???] engages internationally with many other social theories and has branched in many directions.",Сегодня социальная антропология в [???] взаимодействует на международном уровне со многими другими социальными теориями и разветвляется во многих направлениях.,Dziś antropologia społeczna w [???] angażuje się na arenie międzynarodowej z wieloma innymi teoriami społecznymi i rozwinęła się w wielu kierunkach.,Сёння сацыяльная антрапалогія ў [???] узаемадзейнічае на міжнародным узроўні з многімі іншымі сацыяльнымі тэорыямі і разгалінавана ў многіх кірунках.,Сьогодні соціальна антропологія в [???] взаємодіє на міжнародному рівні з багатьма іншими соціальними теоріями та має багато напрямків.,Днес социалната антропология в [???] се ангажира в международен план с много други социални теории и се разклонява в много посоки.,Danes se socialna antropologija v [???] mednarodno ukvarja s številnimi drugimi družbenimi teorijami in se je razvejala v mnogo smeri.,Dnes se sociální antropologie v [???] zabývá mezinárodně mnoha dalšími sociálními teoriemi a rozvětvila se v mnoha směrech.,"Avui dia, l'antropologia social a [???] es relaciona internacionalment amb moltes altres teories socials i s'ha ramificat en moltes direccions.","Hoy, la antropología social en [???] se relaciona internacionalmente con muchas otras teorías sociales y se ha ramificado en muchas direcciones.","Bugün, [???]'daki sosyal antropoloji, uluslararası düzeyde diğer birçok sosyal teori ile ilişki içindedir ve birçok yöne dallanmıştır."
"Coins and notes of both the franc and the peseta, however, remained legal tender in [???] until 2002.","Однако монеты и банкноты как во франках, так и в песетах оставались законным платежным средством в [???] до 2002 года.","Monety i banknoty zarówno franka, jak i pesety pozostawały jednak prawnym środkiem płatniczym w [???] do 2002 roku.","Аднак манеты і купюры як франка, так і песеты заставаліся законным плацежным сродкам у [???] да 2002 года.","Проте монети та банкноти як франка, так і песети залишалися законним платіжним засобом у [???] до 2002 року.","Монетите и банкнотите както на франка, така и на песетата обаче остават законно платежно средство в [???] до 2002 г.",Kovanci in bankovci tako franka kot pezete pa so ostali zakonito plačilno sredstvo v [???] do leta 2002.,"Mince a bankovky jak franku, tak pesety však zůstaly zákonným platidlem v [???] až do roku 2002.","Les monedes i bitllets tant del franc com de la pesseta, però, van romandre de curs legal a [???] fins al 2002.","Sin embargo, las monedas y billetes tanto del franco como de la peseta siguieron siendo de curso legal en [???] hasta 2002.","Bununla birlikte, hem frank hem de pesetanın madeni paraları ve banknotları [???] 2002 yılına kadar yasal ödeme aracı olarak kaldı."
"There are no railways, ports, or airports for fixed-wing aircraft in [???].","В [???] нет железных дорог, портов или аэропортов для самолетов с неподвижным крылом.","W [???] nie ma linii kolejowych, portów ani lotnisk dla stałopłatów.","У [???] няма чыгунак, партоў і аэрапортаў для самалётаў.","У [???] немає залізниць, портів чи аеропортів для літаків.","В [???] няма железопътни линии, пристанища или летища за самолети с фиксирани крила.","V [???] ni železnic, pristanišč ali letališč za letala s fiksnimi krili.","V [???] nejsou žádné železnice, přístavy ani letiště pro letadla s pevnými křídly.","No hi ha ferrocarrils, ports o aeroports per a avions d'ala fixa a [???].","No hay ferrocarriles, puertos o aeropuertos para aeronaves de ala fija en [???].","[???]'da sabit kanatlı uçaklar için demiryolları, limanlar veya havaalanları yoktur."
""" The sinister fact about literary censorship in [???] is that it is largely voluntary.","«Печальный факт литературной цензуры в [???] заключается в том, что она в значительной степени добровольна.","„Złowrogim faktem dotyczącym cenzury literackiej w [???] jest to, że jest ona w dużej mierze dobrowolna.","«Злавесны факт пра літаратурную цэнзуру ў [???] заключаецца ў тым, што яна ў асноўным добраахвотная.","«Зловісний факт про літературну цензуру в [???] полягає в тому, що вона здебільшого добровільна.","„Зловещият факт за литературната цензура в [???] е, че тя е до голяма степен доброволна.",""" Zlovešče dejstvo o literarni cenzuri v [???] je, da je večinoma prostovoljna.","""Zlověstným faktem o literární cenzuře v [???] je, že je z velké části dobrovolná.","""El fet sinistre sobre la censura literària a [???] és que és en gran part voluntària.","""El hecho siniestro sobre la censura literaria en [???] es que es en gran parte voluntaria.",""" [???]'daki edebi sansürle ilgili uğursuz gerçek, bunun büyük ölçüde gönüllü olmasıdır."
