en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
"Another notable high albedo body is [???], with an albedo of 0.86.","Еще одно известное тело с высоким альбедо — [???] с альбедо 0,86.","Innym godnym uwagi ciałem o wysokim albedo jest [???], z albedo 0,86.","Яшчэ адно прыкметнае цела з высокім альбеда [???] з альбеда 0,86.","Ще одне помітне тіло з високим альбедо [???] з альбедо 0,86.","Друго забележително тяло с високо албедо е [???], с албедо 0,86.","Drugo opazno telo z visokim albedom je [???], z albedom 0,86.","Další pozoruhodné tělo s vysokým albedem je [???] s albedem 0,86.","Un altre cos notable d'albedo elevat és [???], amb un albedo de 0,86.","Otro cuerpo notable de alto albedo es [???], con un albedo de 0,86.","Bir diğer dikkate değer yüksek albedo gövdesi, 0.86 albedo ile [???]'dır."
[???] ranks 30th in total land area and ranks second in the size of its inland waterways.,[???] занимает 30-е место по общей площади суши и второе место по размеру внутренних водных путей.,[???] zajmuje 30. miejsce pod względem całkowitej powierzchni lądowej i drugie miejsce pod względem wielkości śródlądowych dróg wodnych.,[???] займае 30-е месца па агульнай плошчы сушы і другое месца па памеры ўнутраных водных шляхоў.,[???] займає 30 місце за загальною площею суші та друге місце за розміром внутрішніх водних шляхів.,[???] се нарежда на 30-то място по обща земна площ и е на второ място по размер на своите вътрешни водни пътища.,[???] je na 30. mestu po skupni kopenski površini in na drugem mestu po velikosti svojih celinskih plovnih poti.,[???] zaujímá 30. místo v celkové rozloze pevniny a druhé místo ve velikosti svých vnitrozemských vodních cest.,[???] ocupa el 30è lloc en superfície total i el segon en la mida de les seves vies navegables interiors.,[???] ocupa el puesto 30 en superficie terrestre total y ocupa el segundo lugar en el tamaño de sus vías navegables interiores.,[???] toplam kara alanında 30. sırada ve iç su yollarının büyüklüğünde ikinci sırada yer alıyor.
The largest city by population is [???].,Крупнейший город по численности населения [???].,Największym miastem pod względem liczby ludności jest [???].,Самы вялікі горад па колькасці насельніцтва — [???].,Найбільше місто за чисельністю населення [???].,Най-големият град по население е [???].,Največje mesto po številu prebivalcev je [???].,Největší město podle počtu obyvatel je [???].,La ciutat més gran per població és [???].,La ciudad más grande por población es [???].,Nüfus bakımından en büyük şehir [???].
The largest city by total land area is [???].,Самый большой город по общей площади земли [???].,Największym miastem pod względem całkowitej powierzchni jest [???].,Самы вялікі горад па агульнай плошчы [???].,Найбільшим містом за загальною площею є [???].,Най-големият град по обща площ е [???].,Največje mesto po skupni površini je [???].,Největší město podle celkové rozlohy je [???].,La ciutat més gran per superfície total és [???].,La ciudad más grande por área total de tierra es [???].,Toplam arazi alanına göre en büyük şehir [???].
"Generally, [???] has very hot summers and mild winters with copious precipitation throughout the year.","Как правило, [???] имеет очень жаркое лето и мягкую зиму с обильными осадками в течение всего года.",Generalnie [???] ma bardzo gorące lata i łagodne zimy z obfitymi opadami przez cały rok.,"Як правіла, у [???] вельмі гарачае лета і мяккая зіма з вялікай колькасцю ападкаў на працягу года.",Загалом [???] має дуже жарке літо та м’яку зиму з рясними опадами протягом року.,Като цяло [???] има много горещо лято и мека зима с обилни валежи през цялата година.,Na splošno ima [???] zelo vroča poletja in mile zime z obilnimi padavinami skozi vse leto.,Obecně má [???] velmi horká léta a mírné zimy s vydatnými srážkami po celý rok.,"En general, [???] té estius molt calorosos i hiverns suaus amb abundants precipitacions durant tot l'any.","Generalmente, [???] tiene veranos muy calurosos e inviernos suaves con abundantes precipitaciones durante todo el año.","Genel olarak, [???] yıl boyunca bol yağış alan çok sıcak yazlara ve ılıman kışlara sahiptir."
[???] receives an average of 56 inches( 1400 mm) of rainfall annually and enjoys a lengthy growing season of up to 300 days in the southern part of the state.,[???] получает в среднем 56 дюймов (1400 мм) осадков в год и имеет длительный вегетационный период до 300 дней в южной части штата.,"[???] otrzymuje średnio 56 cali (1400 mm) opadów rocznie i cieszy się długim sezonem wegetacyjnym, trwającym do 300 dni w południowej części stanu.",[???] атрымлівае ў сярэднім 56 цаляў (1400 мм) ападкаў у год і мае працяглы вегетацыйны перыяд да 300 дзён у паўднёвай частцы штата.,[???] отримує в середньому 56 дюймів (1400 мм) опадів на рік і має тривалий вегетаційний період до 300 днів у південній частині штату.,[???] получава средно 56 инча (1400 мм) валежи годишно и се радва на дълъг вегетационен период до 300 дни в южната част на щата.,[???] prejme povprečno 56 palcev (1400 mm) padavin letno in ima dolgo rastno sezono do 300 dni v južnem delu države.,[???] ročně spadne v průměru 56 palců (1400 mm) srážek a v jižní části státu má dlouhé vegetační období až 300 dní.,[???] rep una mitjana de 56 polzades (1400 mm) de pluja anualment i gaudeix d'una llarga temporada de creixement de fins a 300 dies a la part sud de l'estat.,[???] recibe un promedio de 56 pulgadas (1400 mm) de lluvia al año y disfruta de una larga temporada de crecimiento de hasta 300 días en la parte sur del estado.,[???] yılda ortalama 56 inç (1400 mm) yağış alır ve eyaletin güney kesiminde 300 güne varan uzun bir büyüme mevsiminin tadını çıkarır.
[???] is also prone to tropical storms and even hurricanes.,[???] также подвержен тропическим штормам и даже ураганам.,"[???] jest również podatne na burze tropikalne, a nawet huragany.",[???] таксама схільны да трапічных штормаў і нават ураганаў.,[???] також схильний до тропічних штормів і навіть ураганів.,[???] също е предразположен към тропически бури и дори урагани.,[???] je tudi nagnjen k tropskim nevihtam in celo orkanom.,[???] je také náchylný k tropickým bouřím a dokonce i hurikánům.,[???] també és propens a tempestes tropicals i fins i tot huracans.,[???] también es propenso a las tormentas tropicales e incluso a los huracanes.,[???] ayrıca tropik fırtınalara ve hatta kasırgalara eğilimlidir.
[???] ranks seventh in the number of deaths from lightning and ninth in the number of deaths from lightning strikes per capita.,[???] занимает седьмое место по количеству смертей от молнии и девятое место по количеству смертей от ударов молнии на душу населения.,[???] zajmuje siódme miejsce pod względem liczby zgonów spowodowanych piorunami i dziewiąte pod względem liczby zgonów spowodowanych uderzeniem pioruna na mieszkańca.,[???] займае сёмае месца па колькасці смерцяў ад маланак і дзевятае па колькасці смерцяў ад удараў маланкі на душу насельніцтва.,[???] займає сьоме місце за кількістю смертей від блискавки та дев'яте за кількістю смертей від ударів блискавки на душу населення.,[???] се нарежда на седмо място по брой смъртни случаи от мълния и на девето място по брой смъртни случаи от мълнии на глава от населението.,[???] zaseda sedmo mesto po številu smrti zaradi strele in deveto po številu smrti zaradi udara strele na prebivalca.,[???] je na sedmém místě v počtu úmrtí na blesk a na devátém místě v počtu úmrtí na úder blesku na obyvatele.,[???] ocupa el setè lloc en nombre de morts per llamps i novè en el nombre de morts per llamps per càpita.,[???] ocupa el séptimo lugar en el número de muertes por rayos y el noveno en el número de muertes por rayos per cápita.,"[???] kişi başına düşen yıldırımdan ölüm sayısında yedinci, yıldırım düşmesinden ölüm sayısında ise dokuzuncu sırada yer almaktadır."
[???] is one of the few places in the world that has a secondary tornado season( November and December) along with the spring severe weather season.,"[???] — одно из немногих мест в мире, где есть вторичный сезон торнадо (ноябрь и декабрь) наряду с весенним сезоном суровой погоды.","[???] jest jednym z nielicznych miejsc na świecie, w którym występuje drugi sezon tornad (listopad i grudzień) wraz z wiosennym sezonem surowych warunków pogodowych.","[???] з'яўляецца адным з нямногіх месцаў у свеце, дзе ёсць другасны сезон тарнада (лістапад і снежань) разам з вясновым сезонам суровага надвор'я.","[???] є одним із небагатьох місць у світі, де є вторинний сезон торнадо (листопад і грудень) разом із весняним сезоном суворої погоди.","[???] е едно от малкото места в света, което има вторичен сезон на торнадо (ноември и декември) заедно с пролетния сезон на лошо време.","[???] je eno redkih krajev na svetu, ki ima sekundarno sezono tornadov (november in december) poleg spomladanske sezone hudih vremenskih razmer.","[???] je jedním z mála míst na světě, které má sekundární sezónu tornád (listopad a prosinec) spolu s jarní sezónou nepříznivého počasí.",[???] és un dels pocs llocs del món que té una temporada secundària de tornados (novembre i desembre) juntament amb la temporada de clima sever de primavera.,[???] es uno de los pocos lugares en el mundo que tiene una temporada secundaria de tornados (noviembre y diciembre) junto con la temporada de clima severo de primavera.,"[???], ilkbahar şiddetli hava mevsimi ile birlikte ikinci bir kasırga mevsimi (Kasım ve Aralık) olan dünyadaki birkaç yerden biridir."
[???] is part of the largest industrial growth corridor in the nation.,[???] является частью крупнейшего коридора промышленного роста в стране.,[???] jest częścią największego korytarza wzrostu przemysłowego w kraju.,[???] з'яўляецца часткай найбуйнейшага прамысловага калідора росту ў краіне.,[???] є частиною найбільшого коридору промислового зростання в країні.,[???] е част от най-големия коридор за индустриален растеж в нацията.,[???] je del največjega koridorja industrijske rasti v državi.,[???] je součástí největšího průmyslového růstového koridoru v zemi.,[???] forma part del corredor de creixement industrial més gran del país.,[???] es parte del corredor de crecimiento industrial más grande de la nación.,[???] ülkedeki en büyük endüstriyel büyüme koridorunun bir parçasıdır.
[???] is also a powerhouse of construction and engineering companies.,[???] также является центром строительных и инженерных компаний.,[???] to także potęga firm budowlanych i inżynieryjnych.,[???] таксама з'яўляецца цэнтрам будаўнічых і інжынірынгавых кампаній.,[???] також є центром будівельних та інженерних компаній.,[???] също е мощен център на строителни и инженерингови компании.,[???] je tudi elektrarna gradbenih in inženirskih podjetij.,[???] je také velmocí stavebních a strojírenských firem.,[???] també és una potència d'empreses de construcció i enginyeria.,[???] es también una potencia de las empresas de construcción e ingeniería.,[???] aynı zamanda inşaat ve mühendislik şirketlerinin de gücüdür.
[???] is also one of the few remaining states that levies a tax on food and medicine.,"[???] также является одним из немногих оставшихся штатов, взимающих налог на продукты питания и лекарства.","[???] jest także jednym z nielicznych pozostałych stanów, które nakładają podatek na żywność i lekarstwa.","[???] таксама з'яўляецца адным з нямногіх штатаў, якія спаганяюць падатак на ежу і лекі.","[???] також є одним із небагатьох штатів, які стягують податок на продукти харчування та ліки.","[???] също е един от малкото останали щати, които налагат данък върху храните и лекарствата.","[???] je tudi ena redkih preostalih držav, ki zaračunava davek na hrano in zdravila.","[???] je také jedním z mála zbývajících států, které vybírají daň na potraviny a léky.",[???] també és un dels pocs estats que queden que grava un impost sobre aliments i medicaments.,[???] es también uno de los pocos estados restantes que impone un impuesto sobre alimentos y medicinas.,[???] ayrıca gıda ve ilaca vergi uygulayan az sayıdaki eyaletten biridir.
