en,ru,pl,be,uk,bg,cs,ca,es,tr,sl
India,Индия,Indie,Індыя,Індія,Индия,Indie,Índia,India,Hindistan,Indija
Spain,Испания,Hiszpania,Іспанія,Іспанія,Испания,Španělsko,Espanya,España,İspanya,Španija
Italy,Италия,Włochy,Італія,Італія,Италия,Itálie,Itàlia,Italia,İtalya,Italija
Astana,Астана,Astana,Астана,Астана,Астана,Astana,Astanà,Astaná,Astana,Astana
Alexandria,Александрия,Aleksandria,Александрыя,Александрія,Александрия,Alexandrie,Alexandria,Alejandría,İskenderiye,Aleksandrija
Argentina,Аргентина,Argentyna,Аргенціна,Аргентина,Аржентина,Argentina,Argentina,Argentina,Arjantin,Argentina
Afghanistan,Афганистан,Afganistan,Афганістан,Афганістан,Афганистан,Afghánistán,Afganistan,Afganistán,Afganistan,Afganistan
Australia,Австралия,Australia,Аўстралія,Австралія,Австралия,Austrálie,Austràlia,Australia,Avustralya,Avstralija
Austria,Австрия,Austria,Аўстрыя,Австрія,Австрия,Rakousko,Àustria,Austria,Avusturya,Avstrija
Bolivia,Боливия,Boliwia,Балівія,Болівія,Боливия,Bolívie,Bolívia,Bolivia,Bolivya,Bolivija
Mumbai,Мумбаи,Mumbaj,Мумбаі,Мумбаї,Мумбай,Bombaj,Bombai,Bombay,Mumbai,Mumbaj
Belgium,Бельгия,Belgia,Бельгія,Бельгія,Белгия,Belgie,Bèlgica,Bélgica,Belçika,Belgija
Brazil,Бразилия,Brazylia,Бразілія,Бразилія,Бразилия,Brazílie,Brasil,Brasil,Brezilya,Brazilija
Brest,Брест,Brest,Брэст,Брест,Брест,Brest,Brest,Brest,Brest,Brest
Vanuatu,Вануату,Vanuatu,Вануату,Вануату,Вануату,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu
United Kingdom,Великобритания,Wielka Brytania,Вялікабрытанія,Велика Британія,Обединено кралство Великобритания и Северна Ирландия,Spojené království,Regne Unit,Reino Unido,Birleşik Krallık,Združeno kraljestvo Velike Britanije in Severne Irske
Venezuela,Венесуэла,Wenezuela,Венесуэла,Венесуела,Венецуела,Venezuela,Veneçuela,Venezuela,Venezuela,Venezuela
Vilnius,Вильнюс,Wilno,Вільнюс,Вільнюс,Вилнюс,Vilnius,Vílnius,Vilna,Vilnius,Vilna
Vitebsk,Витебск,Witebsk,Віцебск,Вітебськ,Витебск,Vitebsk,Vítsiebsk,Vítebsk,Vitsebsk,Vitebsk
Ghana,Гана,Ghana,Гана,Гана,Гана,Ghana,Ghana,Ghana,Gana,Gana
Germany,Германия,Niemcy,Германія,Німеччина,Германия,Německo,Alemanya,Alemania,Almanya,Nemčija
Gomel,Гомель,Homel,Гомель,Гомель,Гомел,Homel,Hòmiel,Gómel,Homyel,Gomel
Greece,Греция,Grecja,Грэцыя,Греція,Гърция,Řecko,Grècia,Grecia,Yunanistan,Grčija
Denmark,Дания,Dania,Данія,Данія,Дания,Dánsko,Dinamarca,Dinamarca,Danimarka,Danska
Dnieper,Днепр,Dniepr,Дняпро,Дніпро,Днепър,Dněpr,Dnièper,Río Dniéper,Dinyeper,Dneper
Danube,Дунай,Dunaj,Дунай,Дунай,Дунав,Dunaj,Danubi,Danubio,Tuna,Donava
United States,Соединённые Штаты Америки,Stany Zjednoczone,Злучаныя Штаты Амерыкі,Сполучені Штати Америки,Съединени американски щати,Spojené státy americké,Estats Units d'Amèrica,Estados Unidos,Amerika Birleşik Devletleri,Združene države Amerike
North Korea,Корейская Народно-Демократическая Республика,Korea Północna,Паўночная Карэя,Північна Корея,Северна Корея,Severní Korea,Corea del Nord,Corea del Norte,Kuzey Kore,Severna Koreja
Colombia,Колумбия,Kolumbia,Калумбія,Колумбія,Колумбия,Kolumbie,Colòmbia,Colombia,Kolombiya,Kolumbija
Canada,Канада,Kanada,Канада,Канада,Канада,Kanada,Canadà,Canadá,Kanada,Kanada
Ivory Coast,Кот-д’Ивуар,Wybrzeże Kości Słoniowej,Кот-д’Івуар,Кот-д'Івуар,Кот д'Ивоар,Pobřeží slonoviny,Costa d'Ivori,Costa de Marfil,Fildişi Sahili,Slonokoščena obala
Kyiv,Киев,Kijów,Кіеў,Київ,Киев,Kyjev,Kíiv,Kiev,Kiev,Kijev
La Paz,Ла-Пас,La Paz,Ла-Пас,Ла-Пас,Ла Пас,La Paz,La Paz,La Paz,La Paz,La Paz
Luxembourg,Люксембург,Luksemburg,Люксембург,Люксембург,Люксембург,Lucembursko,Luxemburg,Luxemburgo,Lüksemburg,Luksemburg
Lucerne,Люцерн,Lucerna,Люцэрн,Люцерн,Люцерн,Lucern,Lucerna,Lucerna,Luzern,Luzern
Lithuania,Литва,Litwa,Літва,Литва,Литва,Litva,Lituània,Lituania,Litvanya,Litva
Mogilev,Могилёв,Mohylew,Магілёў,Могильов,Могильов,Mogilev,Mahiliou,Maguilov,Mogilyov,Mogilev
Monaco,Монако,Monako,Манака,Монако,Монако,Monako,Mònaco,Mónaco,Monako,Monako
Minsk,Минск,Mińsk,Мінск,Мінськ,Минск,Minsk,Minsk,Minsk,Minsk,Minsk
