en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
 [???] is often cited as an example of anarchism in practice.,[???] часто приводят как пример анархизма на практике.,[???] jest często cytowany jako przykład anarchizmu w praktyce.,[???] часта прыводзяць як прыклад анархізму на практыцы.,[???] часто наводять як приклад анархізму на практиці.,[???] често се цитира като пример за анархизъм в практиката.,[???] pogosto navajajo kot primer anarhizma v praksi.,[???] je často uváděn jako příklad anarchismu v praxi.,[???] es cita sovint com a exemple d'anarquisme a la pràctica.,[???] se cita a menudo como un ejemplo de anarquismo en la práctica.,[???] genellikle pratikte anarşizmin bir örneği olarak gösterilir.
 Studies by the [???] have investigated the relative ( generally warming) effect of albedo change and ( cooling) effect of carbon sequestration on planting forests., Исследования [???] изучали относительный (в целом согревающий) эффект изменения альбедо и (охлаждающий) эффект секвестрации углерода на посадку леса., Badania przeprowadzone przez [???] badały względny (ogólnie ocieplający) wpływ zmiany albedo i (chłodzący) wpływ sekwestracji węgla na sadzenie lasów.," Даследаванні, праведзеныя [???], даследавалі адносны (звычайна пацяпляльны) эфект змены альбеда і (ахалоджваючы) эфект паглынання вугляроду на пасадку лясоў.", Дослідження [???] досліджували відносний (загалом потепління) ефект зміни альбедо та (охолодження) ефект поглинання вуглецю на насадження лісів., Изследвания от [???] са изследвали относителния (обикновено затоплящ) ефект от промяната на албедото и (охлаждащия) ефект от улавянето на въглерод върху засаждането на гори., Študije [???] so preučevale relativni (na splošno segrevanje) učinek spremembe albeda in (ohlajanje) učinek sekvestracije ogljika na sajenje gozdov., Studie [???] zkoumaly relativní (obecně oteplovací) účinek změny albeda a (ochlazující) účinek sekvestrace uhlíku na výsadbu lesů., Els estudis realitzats per [???] han investigat l'efecte relatiu (generalment escalfament) del canvi d'albedo i l'efecte (refrigerament) del segrest de carboni en la plantació de boscos., Los estudios realizados por [???] han investigado el efecto relativo (generalmente de calentamiento) del cambio de albedo y el efecto (de enfriamiento) del secuestro de carbono en la plantación de bosques.," [???] tarafından yapılan araştırmalar, albedo değişiminin nispi (genellikle ısınma) etkisini ve karbon tutmanın orman dikimi üzerindeki (soğutma) etkisini araştırmıştır."
 [???] are still the majority party in both houses of the legislature., [???] по-прежнему составляют партию большинства в обеих палатах законодательного собрания., [???] nadal stanowią partię większościową w obu izbach parlamentu., [???] па-ранейшаму з'яўляюцца партыяй большасці ў абедзвюх палатах заканадаўчага органа., [???] все ще є партією більшості в обох палатах законодавчого органу., [???] все още са мнозинството в двете камари на законодателния орган., [???] še vedno večinska stranka v obeh domovih zakonodajalca., [???] jsou stále většinovou stranou v obou komorách zákonodárného sboru., [???] segueixen sent el partit majoritari a les dues cambres de la legislatura., [???] siguen siendo el partido mayoritario en ambas cámaras de la legislatura., [???] hala yasama meclisinin her iki meclisinde de çoğunluk partisi.
 [???] has a large presence in the area., [???] имеет большое присутствие в этом районе., [???] ma dużą obecność w okolicy., [???] мае вялікую прысутнасць у гэтым раёне., [???] має велику присутність у цьому районі., [???] има голямо присъствие в района., [???] je močno prisoten na tem območju., [???] má v oblasti velké zastoupení., [???] té una gran presència a la zona., [???] tiene una gran presencia en la zona., [???] bölgede büyük bir varlığa sahip.
" Eight days later, the [???] convenes once more.", Восемь дней спустя [???] собирается снова., Osiem dni później [???] zbiera się ponownie., Праз восем дзён [???] збіраецца яшчэ раз., Через вісім днів [???] знову збирається., Осем дни по-късно [???] се събира отново., Osem dni pozneje se [???] ponovno sestane., O osm dní později se [???] schází znovu.," Vuit dies després, la [???] es torna a reunir."," Ocho días después, el [???] se reúne una vez más.", Sekiz gün sonra [???] bir kez daha toplanır.
 The General [???] is also responsible for proposing and passing laws., Генерал [???] также отвечает за предложение и принятие законов., Generał [???] jest również odpowiedzialny za proponowanie i uchwalanie ustaw., Генерал [???] таксама адказвае за прапанову і прыняцце законаў., Генерал [???] також відповідає за пропозицію та ухвалення законів., Генералът [???] също отговаря за предлагането и приемането на закони., General [???] je odgovoren tudi za predlaganje in sprejemanje zakonov., Generál [???] je také zodpovědný za navrhování a přijímání zákonů., El General [???] també és responsable de proposar i aprovar lleis., El General [???] también es responsable de proponer y aprobar leyes., General [???] ayrıca kanun önermek ve kabul etmekten de sorumludur.
 The [???] hears civil appeals and may in its discretion hear criminal appeals., [???] рассматривает гражданские апелляции и может по своему усмотрению рассматривать уголовные апелляции., [???] rozpoznaje apelacje cywilne i może według własnego uznania rozpatrywać apelacje karne., [???] разглядае грамадзянскія скаргі і можа па сваім меркаванні разглядаць крымінальныя скаргі., [???] розглядає цивільні апеляції та може на свій розсуд розглядати кримінальні апеляції., [???] разглежда граждански жалби и може по свое усмотрение да разглежда наказателни жалби., [???] obravnava civilne pritožbe in lahko po lastni presoji obravnava kazenske pritožbe., [???] projednává občanskoprávní odvolání a může podle svého uvážení projednávat trestní odvolání.," El [???] coneix les apel·lacions civils i pot, a la seva discreció, escoltar les apel·lacions penals."," El [???] escucha apelaciones civiles y puede, a su discreción, escuchar apelaciones penales.", [???] hukuk temyizlerine bakar ve kendi takdirine bağlı olarak cezai temyizlere bakabilir.
" The [???] is currently the state 's only professional opera company, though there are several volunteer and semi-professional organizations in the state as well."," [???] в настоящее время является единственной профессиональной оперной труппой в штате, хотя в штате также есть несколько волонтерских и полупрофессиональных организаций."," [???] jest obecnie jedyną profesjonalną firmą operową w stanie, chociaż w stanie istnieje również kilka organizacji ochotniczych i półprofesjonalnych."," У цяперашні час [???] з'яўляецца адзінай прафесійнай опернай кампаніяй штата, хоць у штаце таксама ёсць некалькі валанцёрскіх і паўпрафесійных арганізацый."," Наразі [???] є єдиною професійною оперною компанією штату, хоча в штаті також є кілька волонтерських і напівпрофесійних організацій."," Понастоящем [???] е единствената професионална оперна компания в щата, въпреки че има и няколко доброволчески и полупрофесионални организации в щата."," [???] je trenutno edina državna profesionalna operna družba, čeprav je v državi tudi več prostovoljnih in polprofesionalnih organizacij."," [???] je v současné době jedinou profesionální operní společností ve státě, i když ve státě působí také několik dobrovolníků a poloprofesionálních organizací."," La [???] és actualment l'única companyia d'òpera professional de l'estat, tot i que també hi ha diverses organitzacions de voluntaris i semiprofessionals a l'estat."," La [???] es actualmente la única compañía de ópera profesional del estado, aunque también hay varias organizaciones de voluntarios y semiprofesionales en el estado."," [???] şu anda eyaletteki tek profesyonel opera şirketidir, ancak eyalette birkaç gönüllü ve yarı profesyonel kuruluş da vardır."
" [???] accredits standards that are developed by representatives of standards developing organizations, government agencies, consumer groups, companies, and others."," [???] аккредитует стандарты, разработанные представителями организаций по разработке стандартов, государственных учреждений, групп потребителей, компаний и других."," [???] akredytuje normy opracowane przez przedstawicieli organizacji opracowujących normy, agencje rządowe, grupy konsumenckie, firmy i inne."," [???] акрэдытуе стандарты, якія распрацаваны прадстаўнікамі арганізацый, якія распрацоўваюць стандарты, дзяржаўных органаў, груп спажыўцоў, кампаній і інш."," [???] акредитує стандарти, розроблені представниками організацій, що розробляють стандарти, державних установ, груп споживачів, компаній та ін."," [???] акредитира стандарти, които са разработени от представители на организации, разработващи стандарти, правителствени агенции, потребителски групи, компании и други."," [???] akreditira standarde, ki so jih razvili predstavniki organizacij za razvoj standardov, vladnih agencij, skupin potrošnikov, podjetij in drugih."," [???] akredituje normy, které jsou vyvinuty zástupci organizací vyvíjejících normy, vládními agenturami, spotřebitelskými skupinami, společnostmi a dalšími."," [???] acredita estàndards desenvolupats per representants d'organitzacions de desenvolupament de normes, agències governamentals, grups de consumidors, empreses i altres."," [???] acredita estándares desarrollados por representantes de organizaciones de desarrollo de estándares, agencias gubernamentales, grupos de consumidores, empresas y otros."," [???], standart geliştiren kuruluşların, devlet kurumlarının, tüketici gruplarının, şirketlerin ve diğerlerinin temsilcileri tarafından geliştirilen standartları akredite eder."
 [???] estimates that more than 80 percent of females and around 50 percent of males lack access to education centers., По оценкам [???] более 80 процентов женщин и около 50 процентов мужчин не имеют доступа к образовательным центрам.," [???] szacuje, że ponad 80 proc. kobiet i około 50 proc. mężczyzn nie ma dostępu do placówek edukacyjnych."," [???] мяркуе, што больш за 80 працэнтаў жанчын і каля 50 працэнтаў мужчын не маюць доступу да адукацыйных цэнтраў."," [???] оцінює, що понад 80 відсотків жінок і близько 50 відсотків чоловіків не мають доступу до освітніх центрів."," [???] изчислява, че повече от 80 процента от жените и около 50 процента от мъжете нямат достъп до образователни центрове."," [???] ocenjuje, da več kot 80 odstotkov žensk in približno 50 odstotkov moških nima dostopa do izobraževalnih centrov."," [???] odhaduje, že více než 80 procent žen a přibližně 50 procent mužů nemá přístup do vzdělávacích center.", [???] estima que més del 80% de les dones i al voltant del 50% dels homes no tenen accés als centres educatius., [???] estima que más del 80 por ciento de las mujeres y alrededor del 50 por ciento de los hombres carecen de acceso a los centros educativos.," [???], kadınların yüzde 80'inden fazlasının ve erkeklerin yaklaşık yüzde 50'sinin eğitim merkezlerine erişiminin olmadığını tahmin ediyor."
