ru,en,pl,be,uk,bg,cs,ca,es,tr,sl
Аякс ,AFC Ajax,AFC Ajax,ФК Аякс Амстэрдам,Аякс ,АФК Аякс,AFC Ajax,Amsterdamsche Football Club Ajax,Ajax de Ámsterdam,AFC Ajax,AFC Ajax
Железная гвардия,Iron Guard,Żelazna Gwardia,Жалезная гвардыя,Залізна Гвардія,Желязна гвардия,Železná garda,Guàrdia de Ferro,Guardia de Hierro ,Demir Muhafızlar,Železna garda
Alfa Romeo,Alfa Romeo,Alfa Romeo,Alfa Romeo,Alfa Romeo,Алфа Ромео,Alfa Romeo,Alfa Romeo,Alfa Romeo,Alfa Romeo,Alfa Romeo
Коминформ,Cominform,Kominform,Камуністычнае інфармацыйнае бюро,Комінформ,Коминформбюро,Kominforma,Kominform,Kominform,Kominform,Informbiro
Атланта Хокс,Atlanta Hawks,Atlanta Hawks,Атланта Хокс,Атланта Гокс,Атланта Хоукс,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks
Жальгирис ,FK Žalgiris,FK Žalgiris Wilno,ФК Жальгірыс Вільнюс,Жальгіріс ,ФК Жалгирис,FK Žalgiris,FK Žalgiris,FC Žalgiris,FK Žalgiris,FK Žalgiris
Национальная парламентская библиотека ,National Diet Library,Narodowa Biblioteka Parlamentarna Japonii,Нацыянальная парламенцкая бібліятэка Японіі,Національна парламентська бібліотека Японії,Национална парламентарна библиотека ,Národní parlamentní knihovna Japonska,Biblioteca Nacional de la Dieta del Japó,Biblioteca Nacional de la Dieta,Millî Diyet Kütüphanesi,Japonska nacionalna knjižnica
Ягеллония,Jagiellonia Białystok,Jagiellonia Białystok,ФК Ягелонія Беласток,Ягеллонія ,ФК Ягельоня,Jagiellonia Białystok,Jagiellonia Białystok SSA,Jagiellonia Białystok,Jagiellonia Białystok,Jagiellonia Białystok
Австрийская партия свободы,Freedom Party of Austria,Wolnościowa Partia Austrii,Аўстрыйская партыя свабоды,Австрійська партія свободи,Партия на свободата на Австрия,Svobodná strana Rakouska,Partit de la Llibertat d'Àustria,Partido de la Libertad de Austria,Avusturya Özgürlük Partisi,Avstrijska svobodnjaška stranka
Grameen Bank,Grameen Bank,Grameen Bank,Grameen Bank,Грамін Банк,Грамин Банк,Grameen Bank,Grameen Bank,Banco Grameen,Grameen Bank,Grameen Bank
Kia Motors,Kia,Kia Corporation,Kia Motors,Kia Motors,KIA,Kia,Kia Motors,Kia Motors,Kia,Kia Motors
Художественный музей Сан-Паулу,São Paulo Museum of Art,Museu de Arte de São Paulo,Мастацкі музей Сан-Паўлу,Музей мистецтва Сан-Паулу,Художествен музей ,Muzeum umění v São Paulu,Museu d'Art de São Paulo,Museo de Arte de São Paulo,São Paulo Sanat Müzesi,Museu de Arte de São Paulo
Атлетико Мадрид,Atlético Madrid,Atlético Madryt,ФК Атлетыка Мадрыд,Атлетіко ,ФК Атлетико ,Atlético Madrid,Atlètic de Madrid,Club Atlético de Madrid,Atlético Madrid,Atlético Madrid
Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,Метро-Голдуин-Майер,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer
ПСВ ,PSV Eindhoven,PSV Eindhoven,ФК ПСВ Эйндхавен,ПСВ,ПСВ Айндховен,PSV Eindhoven,PSV Eindhoven,PSV Eindhoven,PSV,PSV Eindhoven
Международная организация труда,International Labour Organization,Międzynarodowa Organizacja Pracy,Міжнародная арганізацыя працы,Міжнародна організація праці,Международна организация на труда,Mezinárodní organizace práce,Organització Internacional del Treball,Organización Internacional del Trabajo,Uluslararası Çalışma Örgütü,Mednarodna organizacija dela
Гоминьдан,Kuomintang,Kuomintang,Гаміньдан,Гоміндан,Гоминдан,Kuomintang,Guomindang,Kuomintang,Kuomintang,Kuomintang
Брондбю ,Brøndby IF,Brøndby IF,ФК Брондбю,Брондбю ,Брьондби ИФ,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby IF,Brøndby IF,Brøndby IF
BMW,BMW,BMW,BMW,BMW,БМВ,BMW,BMW,BMW,BMW,BMW
Слован ,ŠK Slovan Bratislava,Slovan Bratysława ,ФК Слован Браціслава,Слован ,ФК Слован ,ŠK Slovan Bratislava,ŠK Slovan Bratislava,Š. K. Slovan Bratislava,ŠK Slovan Bratislava,ŠK Slovan Bratislava
Шлёнск ,Śląsk Wrocław,Śląsk Wrocław ,ФК Шлёнск Уроцлаў,Шльонськ ,ФК Шльонск,Śląsk Wrocław,WKS Śląsk Wrocław,Śląsk Wrocław,WKS Śląsk Wrocław,Śląsk Wrocław
Европейский вещательный союз,European Broadcasting Union,Europejska Unia Nadawców,Еўрапейскі вяшчальны саюз,Європейська спілка радіомовлення і телебачення,Европейски съюз за радио и телевизия,Evropská vysílací unie,Unió Europea de Radiodifusió,Unión Europea de Radiodifusión,Avrupa Yayın Birliği,Evropska radiodifuzna zveza
Volkswagen,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Фолксваген,Volkswagen,Volkswagen,Volkswagen,Volkswagen,Volkswagen
Гурник ,Górnik Zabrze,Górnik Zabrze,ФК Гурнік Забжэ,Гурнік ,ФК Гурник,Górnik Zabrze,KS Górnik Zabrze,Górnik Zabrze,Górnik Zabrze,Górnik Zabrze
Коло-Коло,Colo-Colo,CSD Colo-Colo,ФК Кола-Кола,Коло-Коло,Коло-Коло,Colo-Colo,Club Social y Deportivo Colo-Colo,Club Social y Deportivo Colo-Colo,CSD Colo-Colo,Colo-Colo
Паланга ,FK Palanga,FK Palanga,ФК Паланга,Паланга ,ФК Паланга,FK Palanga,FK Palanga,FK Palanga,FK Palanga,FK Palanga
УЕФА,UEFA,UEFA,УЕФА,УЄФА,УЕФА,UEFA,Unió d'Associacions Europees de Futbol,UEFA,UEFA,Združenje evropskih nogometnih zvez
Межправительственная группа экспертов по изменению климата,Intergovernmental Panel on Climate Change,Międzyrządowy Zespół ds. Zmian Klimatu,Міжурадавая група экспертаў па змяненні клімату,Міжурядова група експертів з питань змін клімату,Междуправителствен панел за климатични промени,Mezivládní panel pro změnu klimatu,Grup Intergovernamental sobre el Canvi Climàtic,Grupo Intergubernamental de Expertos sobre el Cambio Climático,Hükûmetlerarası İklim Değişikliği Paneli,Medvladni forum za podnebne spremembe
Црвена звезда ,Red Star Belgrade,FK Crvena zvezda,ФК Црвена Звезда,Црвена Звезда ,ФК Цървена звезда,FK Crvena zvezda,FK Estrella Roja de Belgrad,Estrella Roja de Belgrado,FK Crvena zvezda,Crvena zvezda
WarnerMedia,WarnerMedia,WarnerMedia,WarnerMedia,WarnerMedia,Уорнърмедия,WarnerMedia,WarnerMedia,WarnerMedia,WarnerMedia,Time Warner
Совет Европы,Council of Europe,Rada Europy,Савет Еўропы,Рада Європи,Съвет на Европа,Rada Evropy,Consell d'Europa,Consejo de Europa,Avrupa Konseyi,Svet Evrope
Hitachi,Hitachi,Hitachi ,Hitachi,Hitachi,Хитачи,Hitachi,Hitachi,Hitachi,Hitachi,Hitachi
Зенит ,FC Zenit Saint Petersburg,Zenit Petersburg,ФК Зеніт Санкт-Пецярбург,Зеніт ,ФК Зенит,FK Zenit Sankt-Petěrburg,FK Zenit Sant Petersburg,Zenit de San Petersburgo,FK Zenit,Zenit 
Лидс Юнайтед,Leeds United F.C.,Leeds United F.C.,ФК Лідс Юнайтэд,Лідс Юнайтед,ФК Лийдс Юнайтед,Leeds United FC,Leeds United Football Club,Leeds United Football Club,Leeds United FC,Leeds United F.C.
Бавария ,FC Bayern Munich,Bayern Monachium,ФК Баварыя Мюнхен,Баварія ,ФК Байерн ,FC Bayern Mnichov,FC Bayern de Munic,Bayern de Múnich,FC Bayern München,FC Bayern München
СС,Schutzstaffel,Schutzstaffel,СС,СС,СС,Schutzstaffel,Schutzstaffel,Schutzstaffel,Schutzstaffel,Schutzstaffel
Пагуошское движение учёных,Pugwash Conferences on Science and World Affairs,Konferencja Pugwash w Sprawie Nauki i Problemów Światowych,Пагуошскі рух навукоўцаў,Пагвоський рух учених,Пъгуошки конференции за наука и световни проблеми,Pugwashské konference o vědě a světových záležitostech,Conferències Pugwash de Ciència i Afers Mundials,Conferencia Pugwash,Bilim ve Dünya İlişkileri üzerine Pugwash Konferansı,Pugwash Conferences on Science and World Affairs
Европейская народная партия ,European People's Party Group,Europejska Partia Ludowa ,Еўрапейская народная партыя ,Європейська народна партія ,Европейска народна партия ,Evropská lidová strana ,Grup del Partit Popular Europeu,Grupo del Partido Popular Europeo,Avrupa Halk Partisi ,Skupina Evropske ljudske stranke
Национальная фашистская партия,National Fascist Party,Narodowa Partia Faszystowska,Нацыянальная фашысцкая партыя,Національна фашистська партія,Национална фашистка партия,Národní fašistická strana,Partit Nacional Feixista,Partido Nacional Fascista,Ulusal Faşist Parti,Nacionalna fašistična stranka
Emirates ,Emirates ,Emirates,Emirates Airline,Emirates,Емирейтс ,Emirates,Emirates,Emirates,Emirates,Emirates 
Европейская народная партия,European People's Party,Europejska Partia Ludowa,Еўрапейская народная партыя,Європейська народна партія,Европейска народна партия,Evropská lidová strana,Partit Popular Europeu,Partido Popular Europeo,Avrupa Halk Partisi,Evropska ljudska stranka
AOL,AOL,AOL,AOL,AOL,AOL,AOL,AOL,AOL,AOL,AOL
Врачи без границ,Médecins Sans Frontières,Lekarze bez Granic,Урачы без межаў,Лікарі без кордонів,Лекари без граници,Lékaři bez hranic,Metges Sense Fronteres,Médicos Sin Fronteras,Sınır Tanımayan Doktorlar,Zdravniki brez meja
Hyundai Motor,Hyundai Motor Company,Hyundai Motor Company,Hyundai Motor Company,Hyundai Motor Company,Хюндай Мотор Компани,Hyundai,Hyundai Motor Company,Hyundai Motor Company,Hyundai Motor Company,Hyundai Motor Company
Фиорентина,ACF Fiorentina,ACF Fiorentina,ФК Фіярэнціна,Фіорентіна,АКФ Фиорентина,ACF Fiorentina,ACF Fiorentina,ACF Fiorentina,ACF Fiorentina,ACF Fiorentina
Всемирная продовольственная программа,World Food Programme,Światowy Program Żywnościowy,Сусветная харчовая праграма,Всесвітня продовольча програма,Световна програма по прехраната,Světový potravinový program,Programa Mundial d'Aliments,Programa Mundial de Alimentos,Dünya Gıda Programı,Svetovni program za hrano
Коритиба,Coritiba Foot Ball Club,Coritiba FBC,ФК Карытыба,Корітіба ,ФК Коритиба,Coritiba Foot Ball Club,Coritiba Foot Ball Club,Coritiba Foot Ball Club,Coritiba FC,Coritiba Foot Ball Club
Коринтианс,Sport Club Corinthians Paulista,SC Corinthians Paulista,ФК Карынтыянс,Корінтіанс,Спорт Клуб Коринтианс Паулища,SC Corinthians Paulista,Sport Club Corinthians Paulista,Sport Club Corinthians Paulista,SC Corinthians Paulista,Sport Club Corinthians Paulista
