,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
0,Курт Вейль,Курт Вайл,Kurt Weill,Kurt Weill,Kurt Weill,Kurt Weill,Kurt Weill,Курт Вайль,Kurt Weill,Kurt Weill,Курт Вайль,m
1,Генрых Гімлер,Хайнрих Химлер,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,Heinrich Himmler,Генрих Гиммлер,Heinrich Himmler,Heinrich Himmler,Генріх Гіммлер,m
2,Дэніс Габар,Денис Габор,Dennis Gabor,Dennis Gabor,Dennis Gabor,Dennis Gabor,Dennis Gabor,Денеш Габор,Dennis Gabor,Dennis Gabor,Денніс Габор,m
3,Рагнар Граніт,Рагнар Гранит,Ragnar Granit,Ragnar Granit,Ragnar Granit,Ragnar Granit,Ragnar Granit,Рагнар Гранит,Ragnar Granit,Ragnar Granit,Рагнар Граніт,m
4,Феадосій Дабржанскі,Теодосиус Добжански,Theodosius Dobzhansky,Theodosius Dobzhansky,Theodosius Dobzhansky,Theodosius Dobzhansky,Theodosius Dobzhansky,Феодосий Добржанский,Theodosius Dobzhansky,Theodosius Dobzhansky,Феодосій Добржанський,m
5,Ганна Зэгерс,Ана Зегерс,Anna Seghers,Anna Seghersová,Anna Seghers,Anna Seghers,Anna Seghers,Анна Зегерс,Anna Seghers,Anna Seghers,Анна Зеґерс,f
6,Кіёо Канда,Кийоо Канда,Kiyoo Kanda,Kijoo Kanda,Kiyoo Kanda,Kiyoo Kanda,Kiyoo Kanda,Киёо Канда,Kijoo Kanda,Kiyoo Kanda,Канда Кійоо,m
7,Ханс Адольф Крэбс,Ханс Адолф Кребс,Hans Adolf Krebs,Hans Adolf Krebs,Hans Krebs,Hans Adolf Krebs,Hans Adolf Krebs,Ханс Адольф Кребс,Hans Adolf Krebs,Hans Adolf Krebs,Ганс Адольф Кребс,m
8,Дзіро Міякэ,Джиро Мияке,Jiro Miyake,Džiró Mijake,Jiro Miyake,Jiro Miyake,Jirō Miyake,Дзиро Миякэ,Džiro Mijake,Jiro Miyake,Міяке Дзіро,m
9,Вольфганг Паўлі,Волфганг Паули,Wolfgang Pauli,Wolfgang Pauli,Wolfgang Pauli,Wolfgang Pauli,Wolfgang Pauli,Вольфганг Паули,Wolfgang Ernst Pauli,Wolfgang Pauli,Вольфганг Паулі,m
10,Жак Прэвер,Жак Превер,Jacques Prévert,Jacques Prévert,Jacques Prévert,Jacques Prévert,Jacques Prévert,Жак Превер,Jacques Prévert,Jacques Prévert,Жак Превер,m
11,Чарлз Рыхтэр,Чарлз Франсис Рихтер,Charles Richter,Charles Richter,Charles Francis Richter,Charles Francis Richter,Charles Francis Richter,Чарльз Фрэнсис Рихтер,Charles Francis Richter,Charles Francis Richter,Чарльз Френсіс Ріхтер,m
12,Антуан дэ Сент-Экзюперы,Антоан дьо Сент-Екзюпери,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry,Антуан де Сент-Экзюпери,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry,Антуан де Сент-Екзюпері,m
13,Эрых Фром,Ерих Фром,Erich Fromm,Erich Fromm,Erich Fromm,Erich Fromm,Erich Fromm,Эрих Фромм,Erich Fromm,Erich Fromm,Еріх Фромм,m
14,Рухала Мусаві Хамейні,Рухолах Хомейни,Ruhol·lah Khomeini,Rúholláh Chomejní,Ruhollah Khomeini,Ruhollah Jomeiní,Ruhollah Chomejni,Рухолла Хомейни,Ruholah Musavi Homeini,Ruhullah Humeyni,Рухолла Мусаві Хомейні,m
15,Васіль Чуйкоў,Василий Чуйков,Vassili Txuikov,Vasilij Ivanovič Čujkov,Vasily Chuikov,Vasili Chuikov,Wasilij Czujkow,Василий Чуйков,Vasilij Ivanovič Čujkov,Vasili Çuykov,Василь Чуйков,m
16,Эйвінд Юнсан,Ейвинд Юнсон,Eyvind Johnson,Eyvind Johnson,Eyvind Johnson,Eyvind Johnson,Eyvind Johnson,Эйвинд Юнсон,Eyvind Johnson,Eyvind Johnson,Ейвінд Юнсон,m
17,Анастасія Мікалаеўна,Анастасия Николаевна,Anastàsia de Rússia,Anastázie Nikolajevna,Grand Duchess Anastasia Nikolaevna of Russia,Anastasia Nikoláyevna de Rusia,Anastazja Romanowa,Анастасия Николаевна,Anastazija Romanova,Anastasiya Nikolayevna Romanova,Анастасія Миколаївна,f
18,Хасэ Леандра Андрадэ,Хосе Андраде,José Leandro Andrade,José Andrade,José Leandro Andrade,José Leandro Andrade,José Leandro Andrade,Хосе Леандро Андраде,José Leandro Andrade,José Andrade,Хосе Леандро Андраде,m
19,Луі Армстранг,Луис Армстронг,Louis Armstrong,Louis Armstrong,Louis Armstrong,Louis Armstrong,Louis Armstrong,Луи Армстронг,Louis Armstrong,Louis Armstrong,Луї Армстронг,m
20,Фульхенсіа Батыста,Фулхенсио Батиста,Fulgencio Batista,Fulgencio Batista,Fulgencio Batista,Fulgencio Batista,Fulgencio Batista,Фульхенсио Батиста,Fulgencio Batista,Fulgencio Batista,Фульхенсіо Батиста,m
21,Вернер Карл Гайзенберг,Вернер Хайзенберг,Werner Heisenberg,Werner Heisenberg,Werner Heisenberg,Werner Heisenberg,Werner Heisenberg,Вернер Гейзенберг,Werner Karl Heisenberg,Werner Heisenberg,Вернер Гейзенберг,m
22,Кларк Гейбл,Кларк Гейбъл,Clark Gable,Clark Gable,Clark Gable,Clark Gable,Clark Gable,Кларк Гейбл,Clark Gable,Clark Gable,Кларк Ґейбл,m
23,Марлен Дзітрых,Марлене Дитрих,Marlene Dietrich,Marlene Dietrichová,Marlene Dietrich,Marlene Dietrich,Marlene Dietrich,Марлен Дитрих,Marlene Dietrich,Marlene Dietrich,Марлен Дітріх,f
